headline,timestamp,source,language,sentiment_label,sentiment_score,confidence
"Tenneco CleanINE19RI01016, TENNIND, 544612",2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9356433749198914
"Billionbrains GINE0HOQ01053, GROWW, 544603",2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9303199052810669
"PhysicswallahINE0LP301011, PWL, 544609",2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9295685887336731
"Jaiprakash PowINE351F01018, JPPOWER, 532627",2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9282214045524597
"LG ElectronicsINE324D01010, LGEINDIA, 544576",2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9401620626449585
Credit CardsLifetimeFree,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9380120635032654
Most Active Stocks,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9376860857009888
ECONOMIC INDICATORS,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.8766598105430603
Fundamental Scanner,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9322687983512878
Technical Scanner,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9193668365478516
ECONOMIC CALENDAR,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9011988639831543
FII & DII Activity,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9493873119354248
Corporate Action,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9308074712753296
Intraday Large Deals,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9126306772232056
SEASONALITY ANALYSIS,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.8626739382743835
TECHNICAL TRENDS,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9258548617362976
TRADERS CONCLAVE,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.8825451135635376
INTERVIEW SERIES,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9147970080375671
Cryptocurrency News,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9365379810333252
Bihar Elections 2025,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9066795110702515
Personal Finance,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9222020506858826
Bank Holidays 2025,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.8658028244972229
Technical Analysis,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9304244518280029
CRYPTO DASHBOARD,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9180575013160706
IFSC CODE FINDER,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.941638708114624
PETROL PRICE IN INDIA,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.886046290397644
DIESEL PRICE IN INDIA,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.8813774585723877
Health and Fitness,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9285053014755249
Top Ranked Funds,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.7374429106712341
Performance Tracker,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.8789287805557251
SIP Performance Tracker,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9056723117828369
Top Performing Categories,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.742078423500061
Returns Calculator,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.927640974521637
Lumpsum SIP Balancer,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9304013252258301
Delay Cost Calculator,2025-11-24 18:12:13,MoneyControl,English,neutral,0,0.9247866272926331
