Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Date,,,,,
2025-05-26,25001.150390625,25079.19921875,24900.5,24919.349609375,302800
2025-05-27,24826.19921875,25062.900390625,24704.099609375,24956.650390625,525700
2025-05-28,24752.44921875,24864.25,24737.05078125,24832.5,684400
2025-05-29,24833.599609375,24892.599609375,24677.30078125,24825.099609375,345400
2025-05-30,24750.69921875,24863.94921875,24717.400390625,24812.599609375,853900
2025-06-02,24716.599609375,24754.400390625,24526.150390625,24669.69921875,311100
2025-06-03,24542.5,24845.099609375,24502.150390625,24786.30078125,349300
2025-06-04,24620.19921875,24644.25,24530.44921875,24560.44921875,280900
2025-06-05,24750.900390625,24899.849609375,24613.099609375,24691.19921875,388400
2025-06-06,25003.05078125,25029.5,24671.44921875,24748.69921875,335600
2025-06-09,25103.19921875,25160.099609375,25077.150390625,25160.099609375,279200
2025-06-10,25104.25,25199.30078125,25055.44921875,25196.05078125,307300
2025-06-11,25141.400390625,25222.400390625,25081.30078125,25134.150390625,301200
2025-06-12,24888.19921875,25196.19921875,24825.900390625,25164.44921875,328300
2025-06-13,24718.599609375,24754.349609375,24473.0,24473.0,318700
2025-06-16,24946.5,24967.099609375,24703.599609375,24732.349609375,305800
2025-06-17,24853.400390625,24982.05078125,24813.69921875,24977.849609375,242400
2025-06-18,24812.05078125,24947.55078125,24750.44921875,24788.349609375,237600
2025-06-19,24793.25,24863.099609375,24733.400390625,24803.25,274600
2025-06-20,25112.400390625,25136.19921875,24783.650390625,24787.650390625,574700
2025-06-23,24971.900390625,25057.0,24824.849609375,24939.75,248500
2025-06-24,25044.349609375,25317.69921875,24999.69921875,25179.900390625,450200
2025-06-25,25244.75,25266.80078125,25125.05078125,25150.349609375,260600
2025-06-26,25549.0,25565.30078125,25259.900390625,25268.94921875,428900
2025-06-27,25637.80078125,25654.19921875,25523.55078125,25576.650390625,564000
2025-06-30,25517.05078125,25669.349609375,25473.30078125,25661.650390625,271000
2025-07-01,25541.80078125,25593.400390625,25501.80078125,25551.349609375,260700
2025-07-02,25453.400390625,25608.099609375,25378.75,25588.30078125,309800
2025-07-03,25405.30078125,25587.5,25384.349609375,25505.099609375,293400
2025-07-04,25461.0,25470.25,25331.650390625,25428.849609375,193500
2025-07-07,25461.30078125,25489.80078125,25407.25,25450.44921875,196100
2025-07-08,25522.5,25548.05078125,25424.150390625,25427.849609375,210400
2025-07-09,25476.099609375,25548.69921875,25424.349609375,25514.599609375,239100
2025-07-10,25355.25,25524.05078125,25340.44921875,25511.650390625,219600
2025-07-11,25149.849609375,25322.44921875,25129.0,25255.5,250000
2025-07-14,25082.30078125,25151.099609375,25001.94921875,25149.5,259500
2025-07-15,25195.80078125,25245.19921875,25088.44921875,25089.5,241300
2025-07-16,25212.05078125,25255.30078125,25121.05078125,25196.599609375,228800
2025-07-17,25111.44921875,25238.349609375,25101.0,25230.75,243400
2025-07-18,24968.400390625,25144.599609375,24918.650390625,25108.55078125,317000
2025-07-21,25090.69921875,25111.400390625,24882.30078125,24999.0,305200
2025-07-22,25060.900390625,25182.0,25035.55078125,25166.650390625,483700
2025-07-23,25219.900390625,25233.5,25085.5,25139.349609375,271500
2025-07-24,25062.099609375,25246.25,25018.69921875,25243.30078125,338700
2025-07-25,24837.0,25010.349609375,24806.349609375,25010.349609375,278100
2025-07-28,24680.900390625,24889.19921875,24646.599609375,24782.44921875,262100
2025-07-29,24821.099609375,24847.150390625,24598.599609375,24609.650390625,284700
2025-07-30,24855.05078125,24902.30078125,24771.94921875,24890.400390625,243900
2025-07-31,24768.349609375,24956.5,24635.0,24642.25,346300
2025-08-01,24565.349609375,24784.150390625,24535.05078125,24734.900390625,263400
2025-08-04,24722.75,24736.25,24554.0,24596.05078125,259300
2025-08-05,24649.55078125,24733.099609375,24590.30078125,24720.25,251800
2025-08-06,24574.19921875,24671.400390625,24539.19921875,24641.349609375,225100
2025-08-07,24596.150390625,24634.19921875,24344.150390625,24464.19921875,616700
2025-08-08,24363.30078125,24585.5,24337.5,24544.25,312600
2025-08-11,24585.05078125,24600.849609375,24347.44921875,24371.5,241100
2025-08-12,24487.400390625,24702.599609375,24465.650390625,24563.349609375,237000
2025-08-13,24619.349609375,24664.55078125,24535.25,24586.19921875,236000
2025-08-14,24631.30078125,24673.650390625,24596.900390625,24607.25,270200
2025-08-18,24876.94921875,25022.0,24852.849609375,24938.19921875,363100
2025-08-19,24980.650390625,25012.650390625,24873.94921875,24891.349609375,252300
2025-08-20,25050.55078125,25088.69921875,24929.69921875,24965.80078125,287100
2025-08-21,25083.75,25153.650390625,25054.900390625,25142.0,226500
2025-08-22,24870.099609375,25084.849609375,24859.150390625,25064.150390625,210200
2025-08-25,24967.75,25021.55078125,24894.349609375,24949.150390625,213000
2025-08-26,24712.05078125,24919.650390625,24689.599609375,24899.5,750500
2025-08-28,24500.900390625,24702.650390625,24481.599609375,24695.80078125,326600
2025-08-29,24426.849609375,24572.44921875,24404.69921875,24466.69921875,325500
2025-09-01,24625.05078125,24635.599609375,24432.69921875,24432.69921875,229300
2025-09-02,24579.599609375,24756.099609375,24522.349609375,24653.0,271600
2025-09-03,24715.05078125,24737.05078125,24533.19921875,24616.5,340300
2025-09-04,24734.30078125,24980.75,24708.19921875,24980.75,314100
2025-09-05,24741.0,24832.349609375,24621.599609375,24818.849609375,210100
2025-09-08,24773.150390625,24885.5,24751.55078125,24802.599609375,213200
2025-09-09,24868.599609375,24891.80078125,24814.0,24864.099609375,226900
2025-09-10,24973.099609375,25035.69921875,24915.05078125,24991.0,244100
2025-09-11,25005.5,25037.30078125,24940.150390625,24945.5,224600
2025-09-12,25114.0,25139.44921875,25038.05078125,25074.44921875,225700
2025-09-15,25069.19921875,25138.44921875,25048.75,25118.900390625,185400
2025-09-16,25239.099609375,25261.400390625,25070.44921875,25073.599609375,240100
2025-09-17,25330.25,25346.5,25275.349609375,25276.599609375,268900
2025-09-18,25423.599609375,25448.94921875,25329.75,25441.05078125,272200
2025-09-19,25327.05078125,25428.75,25286.30078125,25410.19921875,380400
2025-09-22,25202.349609375,25331.69921875,25151.05078125,25238.099609375,254500
2025-09-23,25169.5,25261.900390625,25084.650390625,25209.0,299200
2025-09-24,25056.900390625,25149.849609375,25027.44921875,25108.75,244400
2025-09-25,24890.849609375,25092.69921875,24878.30078125,25034.5,342500
2025-09-26,24654.69921875,24868.599609375,24629.44921875,24818.55078125,291500
2025-09-29,24634.900390625,24791.30078125,24606.19921875,24728.55078125,394400
2025-09-30,24611.099609375,24731.80078125,24587.69921875,24691.94921875,303000
2025-10-01,24836.30078125,24867.94921875,24605.94921875,24620.55078125,308900
2025-10-03,24894.25,24904.80078125,24747.55078125,24759.55078125,365900
2025-10-06,25077.650390625,25095.94921875,24881.650390625,24916.55078125,268800
2025-10-07,25108.30078125,25220.900390625,25076.30078125,25085.30078125,288000
2025-10-08,25046.150390625,25192.5,25008.5,25079.75,227400
2025-10-09,25181.80078125,25199.25,25024.30078125,25074.30078125,286300
2025-10-10,25285.349609375,25330.75,25156.849609375,25167.650390625,232900
2025-10-13,25227.349609375,25267.30078125,25152.30078125,25177.30078125,234300
2025-10-14,25145.5,25310.349609375,25060.55078125,25277.55078125,292100
2025-10-15,25323.55078125,25365.150390625,25159.349609375,25181.94921875,289900
2025-10-16,25585.30078125,25625.400390625,25376.849609375,25394.900390625,372800
2025-10-17,25709.849609375,25781.5,25508.599609375,25546.849609375,422100
2025-10-20,25843.150390625,25926.19921875,25788.5,25824.599609375,301100
2025-10-21,25868.599609375,25934.349609375,25825.80078125,25901.19921875,42500
2025-10-23,25891.400390625,26104.19921875,25862.44921875,26057.19921875,448400
2025-10-24,25795.150390625,25944.150390625,25718.19921875,25935.099609375,284900
2025-10-27,25966.05078125,26005.94921875,25827.0,25843.19921875,266300
2025-10-28,25936.19921875,26041.69921875,25810.05078125,25939.94921875,395200
2025-10-29,26053.900390625,26097.849609375,25960.30078125,25982.0,321900
2025-10-30,25877.849609375,26032.05078125,25845.25,25984.400390625,257400
2025-10-31,25722.099609375,25953.75,25711.19921875,25863.80078125,334400
2025-11-03,25763.349609375,25803.099609375,25645.5,25696.849609375,23300
2025-11-04,25597.650390625,25787.400390625,25578.400390625,25744.75,305100
2025-11-06,25509.69921875,25679.150390625,25491.55078125,25593.349609375,371900
2025-11-07,25492.30078125,25551.25,25318.44921875,25433.80078125,305600
2025-11-10,25574.349609375,25653.44921875,25503.5,25503.5,243600
2025-11-11,25694.94921875,25715.80078125,25449.25,25617.0,297700
2025-11-12,25875.80078125,25934.55078125,25781.150390625,25834.30078125,312600
2025-11-13,25879.150390625,26010.69921875,25808.400390625,25906.099609375,385200
2025-11-14,25910.05078125,25940.19921875,25740.80078125,25767.900390625,518900
2025-11-17,26013.44921875,26024.19921875,25906.349609375,25948.19921875,281800
2025-11-18,25910.05078125,26029.849609375,25876.5,26021.80078125,280000
2025-11-19,26052.650390625,26074.650390625,25856.19921875,25918.099609375,250100
2025-11-20,26192.150390625,26246.650390625,26063.19921875,26132.099609375,240400
2025-11-21,26068.150390625,26179.19921875,26052.19921875,26109.55078125,235600
