TIMESTAMP,SYMBOL,INSTRUMENT,EXPIRY_DT,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,OPEN_INT,CHG_IN_OI
2025-05-26,NIFTY,FUTIDX,2025-06-25,24919.349609375,25079.19921875,24900.5,25001.150390625,25001.150390625,302,25001150,0
2025-05-27,NIFTY,FUTIDX,2025-06-26,24956.650390625,25062.900390625,24704.099609375,24826.19921875,24826.19921875,525,24826199,0
2025-05-28,NIFTY,FUTIDX,2025-06-27,24832.5,24864.25,24737.05078125,24752.44921875,24752.44921875,684,24752449,0
2025-05-29,NIFTY,FUTIDX,2025-06-28,24825.099609375,24892.599609375,24677.30078125,24833.599609375,24833.599609375,345,24833599,0
2025-05-30,NIFTY,FUTIDX,2025-06-29,24812.599609375,24863.94921875,24717.400390625,24750.69921875,24750.69921875,853,24750699,0
2025-06-02,NIFTY,FUTIDX,2025-07-02,24669.69921875,24754.400390625,24526.150390625,24716.599609375,24716.599609375,311,24716599,0
2025-06-03,NIFTY,FUTIDX,2025-07-03,24786.30078125,24845.099609375,24502.150390625,24542.5,24542.5,349,24542500,0
2025-06-04,NIFTY,FUTIDX,2025-07-04,24560.44921875,24644.25,24530.44921875,24620.19921875,24620.19921875,280,24620199,0
2025-06-05,NIFTY,FUTIDX,2025-07-05,24691.19921875,24899.849609375,24613.099609375,24750.900390625,24750.900390625,388,24750900,0
2025-06-06,NIFTY,FUTIDX,2025-07-06,24748.69921875,25029.5,24671.44921875,25003.05078125,25003.05078125,335,25003050,0
2025-06-09,NIFTY,FUTIDX,2025-07-09,25160.099609375,25160.099609375,25077.150390625,25103.19921875,25103.19921875,279,25103199,0
2025-06-10,NIFTY,FUTIDX,2025-07-10,25196.05078125,25199.30078125,25055.44921875,25104.25,25104.25,307,25104250,0
2025-06-11,NIFTY,FUTIDX,2025-07-11,25134.150390625,25222.400390625,25081.30078125,25141.400390625,25141.400390625,301,25141400,0
2025-06-12,NIFTY,FUTIDX,2025-07-12,25164.44921875,25196.19921875,24825.900390625,24888.19921875,24888.19921875,328,24888199,0
2025-06-13,NIFTY,FUTIDX,2025-07-13,24473.0,24754.349609375,24473.0,24718.599609375,24718.599609375,318,24718599,0
2025-06-16,NIFTY,FUTIDX,2025-07-16,24732.349609375,24967.099609375,24703.599609375,24946.5,24946.5,305,24946500,0
2025-06-17,NIFTY,FUTIDX,2025-07-17,24977.849609375,24982.05078125,24813.69921875,24853.400390625,24853.400390625,242,24853400,0
2025-06-18,NIFTY,FUTIDX,2025-07-18,24788.349609375,24947.55078125,24750.44921875,24812.05078125,24812.05078125,237,24812050,0
2025-06-19,NIFTY,FUTIDX,2025-07-19,24803.25,24863.099609375,24733.400390625,24793.25,24793.25,274,24793250,0
2025-06-20,NIFTY,FUTIDX,2025-07-20,24787.650390625,25136.19921875,24783.650390625,25112.400390625,25112.400390625,574,25112400,0
2025-06-23,NIFTY,FUTIDX,2025-07-23,24939.75,25057.0,24824.849609375,24971.900390625,24971.900390625,248,24971900,0
2025-06-24,NIFTY,FUTIDX,2025-07-24,25179.900390625,25317.69921875,24999.69921875,25044.349609375,25044.349609375,450,25044349,0
2025-06-25,NIFTY,FUTIDX,2025-07-25,25150.349609375,25266.80078125,25125.05078125,25244.75,25244.75,260,25244750,0
2025-06-26,NIFTY,FUTIDX,2025-07-26,25268.94921875,25565.30078125,25259.900390625,25549.0,25549.0,428,25549000,0
2025-06-27,NIFTY,FUTIDX,2025-07-27,25576.650390625,25654.19921875,25523.55078125,25637.80078125,25637.80078125,564,25637800,0
2025-06-30,NIFTY,FUTIDX,2025-07-30,25661.650390625,25669.349609375,25473.30078125,25517.05078125,25517.05078125,271,25517050,0
2025-07-01,NIFTY,FUTIDX,2025-07-31,25551.349609375,25593.400390625,25501.80078125,25541.80078125,25541.80078125,260,25541800,0
2025-07-02,NIFTY,FUTIDX,2025-08-01,25588.30078125,25608.099609375,25378.75,25453.400390625,25453.400390625,309,25453400,0
2025-07-03,NIFTY,FUTIDX,2025-08-02,25505.099609375,25587.5,25384.349609375,25405.30078125,25405.30078125,293,25405300,0
2025-07-04,NIFTY,FUTIDX,2025-08-03,25428.849609375,25470.25,25331.650390625,25461.0,25461.0,193,25461000,0
2025-07-07,NIFTY,FUTIDX,2025-08-06,25450.44921875,25489.80078125,25407.25,25461.30078125,25461.30078125,196,25461300,0
2025-07-08,NIFTY,FUTIDX,2025-08-07,25427.849609375,25548.05078125,25424.150390625,25522.5,25522.5,210,25522500,0
